Class,Gender,Age,Institute,Department,Students ID,Academic year,Nationality,psychological factor,Teachers factor,eco_status of fam,Family size,Family satisfaction,Accomodation,Institutional factor,Father education,Mother education,Father job,Mother job,Location_student,No of absence,Credit hour,CGPA,Grade
High,M,24,college of social science,Geography,RAS/180/08,2008,Ethiopian,High,<=5,mid_middle class,>3,yes,dormatory,always,secondary,secodary,farmer,house wife,rural,Under-7,180,3.66 ,High
Low,M,24,college of social science,Geography,RAS/145/05,2005,Ethiopian,Low,<=5,poor,<=3,no,dormatory,always,primary,secodary,farmer,house wife,urban,Under-7,180,2.37 ,Low
Medium,M,24,college of social science,Geography,RAS/146/05,2005,Ethiopian,Medium,<=5,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,180,2.69 ,Medium
Low,M,24,college of social science,Geography,RAS/332/11,2011,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,sometimes,degree,primary,civil servant,house wife,urban,Above-7,180,2.31 ,Low
High,F,24,college of social science,Geography,RAS/354/08,2008,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,180,3.65 ,High
High,M,24,college of social science,Geography,RAS/212/09,2009,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Above-7,180,3.58 ,High
Medium,M,24,college of social science,Geography,RAS/213/09,2009,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180,2.84 ,Medium
Low,M,24,college of social science,Geography,RAS/145/08,2008,Ethiopian,Low,<=5,low_middle class,>3,yes,dormatory,always,college,secodary,civil servant,house wife,rural,Above-7,180,2.38 ,Low
Low,M,24,college of social science,Geography,RAS/219/09,2009,Ethiopian,Low,<=5,poor,>3,yes,dormatory,always,primary,secodary,civil servant,house wife,rural,Under-7,180,2.24 ,Low
Low,M,24,college of social science,Geography,RAS/204/07,2007,Ethiopian,Low,>=6,poor,<=3,no,dormatory,always,primary,primary,farmer,house wife,rural,Above-7,180,2.26 ,Low
High,F,24,college of social science,Geography,RAS/347/11,2011,Ethiopian,High,<=5,poor,>3,no,dormatory,always,primary,high school,farmer,house wife,rural,Under-7,180,3.77 ,High
High,F,24,college of social science,Geography,RAS/348/11,2011,Ethiopian,High,<=5,poor,>3,no,dormatory,always,secondary,college,farmer,civil servant,rural,Above-7,180,3.67 ,High
Low,M,24,college of social science,Geography,RAS/223/09,2009,Ethiopian,Low,<=5,poor,>3,no,dormatory,sometimes,primary,primary,farmer,house wife,rural,Under-7,180,2.27 ,Low
Medium,M,24,college of social science,Geography,RAS/205/10,2010,Ethiopian,Medium,<=5,poor,>3,no,dormatory,sometimes,primary,primary,farmer,house wife,rural,Above-7,180,3.32 ,Medium
Low,M,24,college of social science,Geography,RAS/151/05,2005,Ethiopian,Low,<=5,low_middle class,>3,yes,dormatory,sometimes,primary,primary,farmer,house wife,rural,Under-7,180,2.24 ,Low
Low,M,24,college of social science,Geography,RAS/154/05,2005,Ethiopian,Low,<=5,poor,>3,yes,dormatory,sometimes,primary,primary,farmer,house wife,urban,Under-7,180,2.25 ,Low
Low,M,24,college of social science,Geography,RAS/301/08,2008,Ethiopian,Low,>=6,poor,>3,yes,dormatory,sometimes,primary,primary,farmer,house wife,urban,Above-7,181  ,2.39 ,Low
High,M,24,college of social science,Geography,RAS/225/09,2009,Ethiopian,High,<=5,low_middle class,>3,yes,dormatory,sometimes,degree,secodary,civil servant,house wife,urban,Above-7,254  ,3.68 ,High
Medium,M,24,college of social science,Geography,RAS/207/07,2007,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,degree,secodary,civil servant,house wife,urban,Under-7,181  ,2.88 ,Medium
Low,M,24,college of social science,Geography,RAS/123/06,2006,Ethiopian,Low,>=6,mid_middle class,>3,yes,dormatory,sometimes,degree,secodary,merchant,house wife,urban,Under-7,181  ,2.21 ,Low
Low,F,24,college of social science,Geography,RAS/124/06,2006,Ethiopian,Low,<=5,poor,<=3,yes,dormatory,sometimes,degree,secodary,civil servant,house wife,urban,Under-7,181  ,2.32 ,Low
Medium,F,24,college of social science,Geography,RAS/127/06,2006,Ethiopian,Medium,<=5,low_middle class,<=3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,181  ,3.37 ,Medium
Low,M,24,college of social science,Geography,RAS/231/09,2009,Ethiopian,Low,<=5,low_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,181  ,2.32 ,Low
Medium,F,24,college of social science,Geography,RAS/156/05,2005,Ethiopian,Medium,<=5,poor,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,181  ,3.12 ,Medium
Low,M,24,college of social science,Geography,RAS/214/10,2010,Ethiopian,Low,<=5,poor,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180  ,2.36 ,Low
Low,M,24,college of social science,Geography,RAS/208/08,2008,Ethiopian,Low,<=5,poor,>3,yes,dormatory,always,msc,primary,merchant,civil servant,rural,Above-7,181  ,2.45 ,Low
High,F,24,college of social science,Geography,RAS/238/09,2009,Ethiopian,High,>=6,low_middle class,>3,yes,dormatory,always,degree,secodary,civil servant,house wife,rural,Above-7,181  ,3.63 ,High
High,M,24,college of social science,Geography,RAS/164/05,2005,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,always,primary,secodary,farmer,house wife,rural,Above-7,180  ,3.58 ,High
Low,M,24,college of social science,Geography,RAS/165/05,2005,Ethiopian,Low,<=5,poor,>3,yes,dormatory,always,primary,secodary,farmer,house wife,urban,Above-7,181  ,2.32 ,Low
Medium,M,24,college of social science,Geography,RAS/225/07,2007,Ethiopian,Medium,>=6,low_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,181  ,3.09 ,Medium
Medium,M,24,college of social science,Geography,RAS/240/08,2008,Ethiopian,Medium,<=5,low_middle class,<=3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,254  ,2.91 ,Medium
Medium,M,24,college of social science,Geography,RAS/139/06,2006,Ethiopian,Low,<=5,low_middle class,>3,yes,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Above-7,181  ,3.41 ,Medium
Medium,M,24,college of social science,Geography,RAS/229/10,2010,Ethiopian,Medium,<=5,poor,<=3,yes,dormatory,always,secondary,secodary,farmer,house wife,rural,Under-7,254  ,3.09 ,Medium
Medium,M,24,college of social science,Geography,RAS/172/05,2005,Ethiopian,Medium,<=5,poor,>3,yes,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,180  ,3.48 ,Medium
Low,M,24,college of social science,Geography,RAS/140/06,2006,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,always,degree,secodary,farmer,house wife,rural,Under-7,180  ,2.41 ,Low
Medium,F,24,college of social science,Geography,RAS/182/05,2005,Ethiopian,Medium,<=5,poor,>3,no,dormatory,never,secondary,secodary,farmer,house wife,rural,Above-7,254  ,2.77 ,Medium
Medium,F,24,college of social science,Geography,RAS/056/06,2006,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,never,secondary,secodary,farmer,house wife,urban,Above-7,181  ,2.79 ,Medium
High,F,24,college of social science,Geography,RAS/411/11,2011,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Above-7,254  ,3.53 ,High
Medium,F,24,college of social science,Geography,RAS/141/06,2006,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,primary,farmer,house wife,rural,Under-7,181  ,3.15 ,Medium
Medium,F,24,college of social science,Geography,RAS/233/07,2007,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,180  ,3.07 ,Medium
Low,F,24,college of social science,Geography,RAS/238/10,2010,Ethiopian,Low,>=6,low_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Under-7,180  ,2.47 ,Low
Medium,M,24,college of social science,Geography,RAS/257/09,2009,Ethiopian,Medium,>=6,poor,>3,yes,dormatory,always,primary,secodary,farmer,house wife,rural,Above-7,181  ,3.29 ,Medium
Medium,M,24,college of social science,Geography,RAS/144/06,2006,Ethiopian,Medium,>=6,poor,>3,no,dormatory,sometimes,degree,primary,civil servant,house wife,rural,Under-7,180  ,2.50 ,Medium
Medium,M,24,college of social science,Geography,RAS/258/09,2009,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180  ,2.57 ,Medium
Medium,M,24,college of social science,Geography,RAS/239/10,2010,Ethiopian,Medium,>=6,poor,<=3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180  ,3.29 ,Medium
Medium,F,24,college of social science,Geography,RAS/420/11,2011,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,181  ,3.37 ,Medium
Medium,M,24,college of social science,Geography,RAS/251/10,2010,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,sometimes,college,secodary,civil servant,house wife,rural,Under-7,181  ,3.19 ,Medium
Medium,F,24,college of social science,Geography,RAS/274/09,2009,Ethiopian,Low,>=6,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Under-7,181  ,2.98 ,Medium
Medium,M,24,college of social science,Geography,RAS/284/09,2009,Ethiopian,Medium,>=6,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Under-7,181  ,2.58 ,Medium
Medium,M,24,college of social science,Geography,RAS/441/11,2011,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,never,primary,secodary,farmer,house wife,urban,Above-7,181  ,2.65 ,Medium
Low,F,24,college of social science,Geography,RAS/186/05,2005,Ethiopian,Low,>=6,low_middle class,>3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Under-7,181  ,2.46 ,Low
High,M,24,college of social science,Geography,RAS/159/06,2006,Ethiopian,High,>=6,low_middle class,>3,no,dormatory,never,secondary,secodary,farmer,house wife,urban,Under-7,181  ,3.54 ,High
Medium,M,24,college of social science,Geography,RAS/160/06,2006,Ethiopian,Medium,>=6,poor,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,urban,Above-7,181  ,3.19 ,Medium
Medium,M,24,college of social science,Geography,RAS/161/06,2006,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,urban,Above-7,181  ,2.72 ,Medium
High,M,24,college of social science,Geography,RAS/188/05,2005,Ethiopian,High,>=6,low_middle class,>3,yes,dormatory,always,degree,secodary,civil servant,house wife,urban,Above-7,181  ,3.72 ,High
Medium,F,24,college of social science,Geography,RAS/150/07,2007,Ethiopian,Medium,>=6,low_middle class,<=3,yes,dormatory,always,secondary,secodary,farmer,house wife,urban,Above-7,254  ,2.74 ,Medium
Medium,F,24,college of social science,Geography,RAS/169/06,2006,Ethiopian,Medium,<=5,mid_middle class,<=3,yes,dormatory,sometimes,secondary,secodary,farmer,house wife,urban,Above-7,181  ,3.14 ,Medium
Medium,M,24,college of social science,Geography,RAS/263/07,2007,Ethiopian,Medium,<=5,low_middle class,>3,yes,dormatory,sometimes,secondary,secodary,farmer,house wife,urban,Under-7,181  ,3.13 ,Medium
Medium,M,24,college of social science,Geography,RAS/272/10,2010,Ethiopian,Medium,<=5,low_middle class,>3,yes,dormatory,sometimes,secondary,primary,farmer,house wife,rural,Under-7,180  ,2.58 ,Medium
High,M,24,college of social science,Geography,RAS/116/08,2008,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,254  ,3.61 ,High
Medium,M,24,college of social science,Geography,RAS/300/09,2009,Ethiopian,Medium,<=5,poor,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,181  ,3.24 ,Medium
Low,M,24,college of social science,Geography,RAS/301/09,2009,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180  ,2.42 ,Low
Medium,M,24,college of social science,Geography,RAS/205/08,2008,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,degree,primary,civil servant,house wife,rural,Under-7,181  ,2.71 ,Medium
High,M,24,college of social science,Geography,RAS/270/07,2007,Ethiopian,High,<=5,poor,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,181  ,3.73 ,High
High,F,24,college of social science,Geography,RAS/278/10,2010,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,181  ,3.80 ,High
Medium,F,24,college of social science,Geography,RAS/194/05,2005,Ethiopian,Medium,<=5,low_middle class,<=3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180  ,3.09 ,Medium
High,F,24,college of social science,Geography,RAS/273/07,2007,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,never,college,secodary,civil servant,house wife,rural,Under-7,181  ,3.61 ,High
Low,F,24,college of social science,Geography,RAS/323/08,2008,Ethiopian,Low,<=5,poor,<=3,no,dormatory,never,primary,secodary,civil servant,house wife,rural,Under-7,181  ,2.25 ,Low
Medium,M,24,college of social science,Geography,RAS/304/09,2009,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,primary,primary,farmer,house wife,rural,Under-7,181  ,2.95 ,Medium
High,M,24,college of social science,Geography,RAS/287/10,2010,Ethiopian,High,<=5,poor,>3,no,dormatory,sometimes,primary,high school,farmer,house wife,rural,Under-7,181  ,3.50 ,High
Low,M,24,college of social science,Geography,RAS/275/07,2007,Ethiopian,Low,<=5,poor,>3,no,dormatory,sometimes,secondary,college,farmer,civil servant,rural,Above-7,181  ,2.49 ,Low
Medium,F,24,college of social science,Geography,RAS/175/06,2006,Ethiopian,Medium,<=5,poor,>3,no,dormatory,sometimes,primary,primary,farmer,house wife,rural,Under-7,181  ,3.24 ,Medium
Medium,M,24,college of social science,Geography,RAS/201/05,2005,Ethiopian,Medium,<=5,mid_middle class,>3,no,dormatory,never,primary,primary,farmer,house wife,urban,Under-7,180  ,3.49 ,Medium
Medium,F,24,college of social science,Geography,RAS/289/10,2010,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,never,primary,primary,farmer,house wife,rural,Above-7,181  ,2.86 ,Medium
Low,F,24,college of social science,Geography,RAS/290/10,2010,Ethiopian,Low,<=5,poor,>3,no,dormatory,never,primary,primary,farmer,house wife,rural,Above-7,254  ,2.45 ,Low
High,F,24,college of social science,Geography,RAS/320/09,2009,Ethiopian,High,<=5,low_middle class,<=3,yes,dormatory,never,primary,primary,farmer,house wife,urban,Above-7,181  ,3.73 ,High
Medium,M,24,college of social science,Geography,RAS/493/11,2011,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,degree,secodary,civil servant,house wife,rural,Above-7,254  ,3.41 ,Medium
Low,M,24,college of social science,Geography,RAS/212/05,2005,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,sometimes,degree,secodary,civil servant,house wife,rural,Under-7,181  ,2.28 ,Low
Medium,F,24,college of social science,Geography,RAS/214/05,2005,Ethiopian,Medium,<=5,mid_middle class,>3,no,dormatory,sometimes,degree,secodary,merchant,house wife,urban,Under-7,181  ,2.55 ,Medium
Low,M,24,college of social science,Geography,RAS/291/07,2007,Ethiopian,Low,<=5,poor,>3,yes,dormatory,sometimes,degree,secodary,civil servant,house wife,rural,Above-7,181  ,2.44 ,Low
Medium,F,24,college of social science,Geography,RAS/186/06,2006,Ethiopian,Medium,>=6,low_middle class,>3,yes,dormatory,Medium,primary,secodary,farmer,house wife,rural,Under-7,254  ,3.48 ,Medium
Low,M,24,college of social science,Geography,RAS/187/06,2006,Ethiopian,Low,<=5,poor,>3,yes,dormatory,always,primary,secodary,farmer,house wife,rural,Under-7,180  ,2.45 ,Low
Medium,M,24,college of social science,Geography,RAS/508/11,2011,Ethiopian,Medium,<=5,mid_middle class,>3,yes,dormatory,always,primary,secodary,farmer,house wife,urban,Under-7,181  ,2.93 ,Medium
High,M,24,college of social science,Geography,RAS/T/002/09,2009,Ethiopian,High,>=6,mid_middle class,>3,no,dormatory,always,primary,secodary,farmer,house wife,rural,Above-7,181  ,3.69 ,High
High,M,24,college of social science,Geography,RAS/261/08,2008,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,never,msc,primary,merchant,civil servant,rural,Above-7,254  ,3.74 ,High
Medium,M,24,college of social science,Geography,RAS/528/11,2011,Ethiopian,Medium,<=5,poor,>3,no,dormatory,always,degree,secodary,civil servant,house wife,rural,Above-7,181  ,3.34 ,Medium
Medium,M,24,college of social science,Geography,RAS/195/06,2006,Ethiopian,Medium,<=5,poor,<=3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,181  ,2.64 ,Medium
High,F,24,college of social science,Geography,RAS/277/08,2008,Ethiopian,High,<=5,poor,<=3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,254  ,3.70 ,High
Medium,F,24,college of social science,Geography,RAS/326/10,2010,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Under-7,254  ,2.74 ,Medium
High,F,24,college of social science,Geography,RAS/329/10,2010,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,181  ,3.73 ,High
High,M,24,college of social science,Geography,RAS/226/05,2005,Ethiopian,High,>=6,poor,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,urban,Under-7,181  ,3.69 ,High
Medium,M,24,college of social science,Geography,RAS/227/05,2005,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,urban,Under-7,254  ,3.47 ,Medium
High,F,24,college of social science,Geography,RAS/543/11,2011,Ethiopian,High,<=5,poor,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,urban,Above-7,181  ,3.66 ,High
High,F,24,college of social science,Geography,RAS/339/10,2010,Ethiopian,High,>=6,poor,>3,no,dormatory,sometimes,degree,secodary,farmer,house wife,urban,Above-7,181  ,3.79 ,High
Low,M,24,college of social science,Geography,RAS/206/06,2006,Ethiopian,Low,<=5,poor,>3,yes,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,181  ,2.21 ,Low
High,F,24,college of social science,Geography,RAS/336/09,2009,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,181  ,3.78 ,High
Medium,F,24,college of social science,Geography,RAS/337/09,2009,Ethiopian,Medium,<=5,low_middle class,<=3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Above-7,181  ,3.33 ,Medium
Low,M,24,college of social science,Geography,RAS/548/11,2011,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,primary,farmer,house wife,rural,Under-7,181  ,2.44 ,Low
Low,M,24,college of social science,Geography,RAS/339/09,2009,Ethiopian,Low,<=5,low_middle class,<=3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Above-7,181  ,2.39 ,Low
Low,M,24,college of social science,Geography,RAS/232/05,2005,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,always,primary,secodary,farmer,house wife,rural,Under-7,181  ,2.33 ,Low
Medium,M,24,college of social science,Geography,RAS/234/05,2005,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,always,primary,secodary,farmer,house wife,rural,Under-7,181  ,2.90 ,Medium
High,F,24,college of social science,Geography,RAS/052/08,2008,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,always,degree,primary,civil servant,house wife,rural,Above-7,180  ,3.71 ,High
Medium,M,24,college of social science,Geography,RAS/346/10,2010,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,181  ,3.27 ,Medium
Low,M,24,college of social science,Geography,RAS/557/11,2011,Ethiopian,Low,>=6,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,254  ,2.32 ,Low
High,M,24,college of social science,Geography,RAS/283/08,2008,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,181  ,3.68 ,High
Medium,F,24,college of social science,Geography,RAS/349/10,2010,Ethiopian,Medium,<=5,poor,>3,no,dormatory,never,college,secodary,civil servant,house wife,urban,Under-7,181  ,3.14 ,Medium
Medium,M,24,college of social science,Geography,RAS/209/06,2006,Ethiopian,Medium,<=5,low_middle class,<=3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Under-7,181  ,2.68 ,Medium
Medium,F,24,college of social science,Geography,RAS/245/05,2005,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,always,primary,secodary,farmer,house wife,urban,Under-7,181  ,2.88 ,Medium
Medium,M,24,college of social science,Geography,RAS/074/08,2008,Ethiopian,Medium,<=5,poor,>3,no,dormatory,always,primary,secodary,farmer,house wife,urban,Under-7,254  ,3.16 ,Medium
Low,M,24,college of social science,Geography,RAS/210/06,2006,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,always,primary,secodary,farmer,house wife,rural,Under-7,181  ,2.22 ,Low
Medium,M,24,college of social science,Geography,RAS/561/11,2011,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,always,secondary,secodary,farmer,house wife,rural,Under-7,181  ,3.20 ,Medium
Medium,M,24,college of social science,Geography,RAS/307/08,2008,Ethiopian,Medium,<=5,poor,>3,no,dormatory,always,secondary,secodary,farmer,house wife,rural,Above-7,180  ,3.28 ,Medium
Low,F,24,college of social science,Geography,RAS/357/08,2008,Ethiopian,Low,<=5,poor,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Above-7,181  ,2.33 ,Low
High,F,24,college of social science,Geography,RAS/352/10,2010,Ethiopian,High,>=6,low_middle class,>3,no,dormatory,sometimes,degree,secodary,civil servant,house wife,rural,Under-7,181  ,3.50 ,High
High,M,24,college of social science,Geography,RAS/354/10,2010,Ethiopian,High,<=5,poor,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,181  ,3.59 ,High
Medium,M,24,college of social science,Geography,RAS/348/09,2009,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Above-7,181  ,3.15 ,Medium
Medium,F,24,college of social science,Geography,RAS/250/05,2005,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,never,secondary,secodary,farmer,house wife,rural,Under-7,181  ,3.12 ,Medium
Medium,M,24,college of social science,Geography,RAS/219/06,2006,Ethiopian,Medium,<=5,poor,<=3,no,dormatory,never,secondary,primary,farmer,house wife,urban,Under-7,181  ,2.91 ,Medium
High,M,24,college of social science,Geography,RAS/220/06,2006,Ethiopian,High,<=5,poor,<=3,no,dormatory,never,secondary,secodary,farmer,house wife,urban,Under-7,181  ,3.74 ,High
High,M,24,college of social science,Geography,RAS/360/10,2010,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Under-7,181  ,3.88 ,High
Medium,M,24,college of social science,Geography,RAS/258/05,2005,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Under-7,254  ,3.46 ,Medium
Low,M,24,college of social science,Geography,RAS/354/09,2009,Ethiopian,Low,<=5,mid_middle class,>3,no,dormatory,never,degree,primary,civil servant,house wife,rural,Under-7,254  ,2.33 ,Low
High,M,24,college of social science,Geography,RAS/221/06,2006,Ethiopian,High,<=5,mid_middle class,>3,no,dormatory,never,primary,secodary,farmer,house wife,urban,Under-7,254  ,3.73 ,High
Medium,F,24,college of social science,Geography,RAS/222/06,2006,Ethiopian,Medium,>=6,mid_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Under-7,181  ,2.72 ,Medium
Medium,M,24,college of social science,Geography,RAS/265/05,2005,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,181  ,3.46 ,Medium
High,F,24,college of social science,Geography,RAS/266/05,2005,Ethiopian,High,<=5,poor,>3,no,dormatory,always,college,secodary,civil servant,house wife,rural,Above-7,181  ,3.83 ,High
High,M,24,college of social science,Geography,RAS/365/10,2010,Ethiopian,High,<=5,poor,>3,no,dormatory,always,primary,secodary,civil servant,house wife,rural,Under-7,181  ,3.56 ,High
Medium,M,24,college of social science,Geography,RAS/255/08,2008,Ethiopian,Medium,<=5,low_middle class,<=3,yes,dormatory,always,primary,primary,farmer,house wife,rural,Under-7,181  ,2.81 ,Medium
Medium,F,24,college of social science,Geography,RAS/268/05,2005,Ethiopian,Medium,<=5,low_middle class,>3,yes,dormatory,always,primary,high school,farmer,house wife,rural,Under-7,181  ,3.14 ,Medium
Medium,F,24,college of social science,Geography,RAS/369/10,2010,Ethiopian,Medium,<=5,low_middle class,<=3,yes,dormatory,sometimes,secondary,college,farmer,civil servant,rural,Above-7,181  ,3.44 ,Medium
High,M,24,college of social science,Geography,RAS/271/05,2005,Ethiopian,High,>=6,low_middle class,>3,yes,dormatory,sometimes,primary,primary,farmer,house wife,rural,Under-7,181  ,3.65 ,High
High,M,24,college of social science,Geography,RAS/338/07,2007,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,sometimes,primary,primary,farmer,house wife,rural,Under-7,254  ,3.84 ,High
Medium,M,24,college of social science,Geography,RAS/340/07,2007,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,always,primary,primary,farmer,house wife,rural,Under-7,181  ,3.15 ,Medium
Low,M,24,college of social science,Geography,RAS/588/11,2011,Ethiopian,Low,>=6,low_middle class,>3,no,dormatory,sometimes,primary,primary,farmer,house wife,urban,Under-7,181  ,2.42 ,Low
Low,F,24,college of social science,Geography,RAS/376/10,2010,Ethiopian,Low,<=5,poor,>3,no,dormatory,always,primary,primary,farmer,house wife,urban,Above-7,181  ,2.48 ,Low
High,M,24,college of social science,Geography,RAS/328/07,2007,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,never,degree,secodary,civil servant,house wife,urban,Above-7,254  ,3.59 ,High
Low,M,24,college of social science,Geography,RAS/590/11,2011,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,never,degree,secodary,civil servant,house wife,urban,Under-7,181  ,2.21 ,Low
Medium,M,24,college of social science,Geography,RAS/272/05,2005,Ethiopian,Medium,<=5,low_middle class,<=3,no,dormatory,sometimes,degree,secodary,merchant,house wife,rural,Under-7,181  ,2.51 ,Medium
Medium,M,24,college of social science,Geography,RAS/380/10,2010,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,degree,secodary,civil servant,house wife,rural,Under-7,181  ,3.39 ,Medium
Medium,M,24,college of social science,Geography,RAS/345/07,2007,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,181  ,3.07 ,Medium
High,M,24,college of social science,Geography,RAS/600/11,2011,Ethiopian,High,>=6,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,181  ,3.64 ,High
Low,M,24,college of social science,Geography,RAS/372/09,2009,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,always,primary,secodary,farmer,house wife,rural,Under-7,181  ,2.45 ,Low
High,M,24,college of social science,Geography,RAS/347/07,2007,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,181  ,3.74 ,High
